# Sava River Days 2026 — Hunter Score Report
# Source: DummyCabrillo.log (activator YT1SAVA, 6 pts) +
#         DummyADIF.adi     (YU1HQR=2 pts, YU4RDX=1 pt)
#
# NOTE: "0 pts" hunters (Group E) have exactly 1 unique QSO + 1 within-file
# duplicate in DummyADIF.adi. Their actual DB score will be 1 pt from the
# first occurrence; the duplicate adds 0. They are shown as 0 here to
# represent the intended "dup-only" bucket.
#
# DISTRIBUTION (500 total callsigns):
#   1        : 25 callsigns (5.0%)
#   >10      : 100 callsigns (20.0%)
#   5-10     : 150 callsigns (30.0%)
#   2-5      : 200 callsigns (40.0%)
#   0(dup)   : 25 callsigns (5.0%)
#
CALLSIGN      POINTS
----------------------
YU1BY             16
YU1BZ             16
YU1CA             16
YU1CB             16
YU1CC             16
YU1CD             16
YU1CE             16
YU1CF             16
YU1CG             16
YU1CH             16
YU1CI             16
YU1CJ             16
YU1CK             16
YU1CL             16
YU1CM             16
YU1CN             16
YU1CO             16
YU1CP             16
YU1CQ             16
YU1CR             16
YU1CS             16
YU1CT             16
YU1CU             16
YU1CV             16
YU1CW             16
YU1CX             16
YU1CY             16
YU1CZ             16
YU1DA             16
YU1DB             16
YU1DC             16
YU1DD             16
YU1DE             16
YU1DF             16
YU1DG             16
YU1DH             16
YU1DI             16
YU1DJ             16
YU1DK             16
YU1DL             16
YU1DM             16
YU1DN             16
YU1DO             16
YU1DP             16
YU1DQ             16
YU1DR             16
YU1DS             16
YU1DT             16
YU1DU             16
YU1DV             16
YU1AA             12
YU1AB             12
YU1AC             12
YU1AD             12
YU1AE             12
YU1AF             12
YU1AG             12
YU1AH             12
YU1AI             12
YU1AJ             12
YU1AK             12
YU1AL             12
YU1AM             12
YU1AN             12
YU1AO             12
YU1AP             12
YU1AQ             12
YU1AR             12
YU1AS             12
YU1AT             12
YU1AU             12
YU1AV             12
YU1AW             12
YU1AX             12
YU1AY             12
YU1AZ             12
YU1BA             12
YU1BB             12
YU1BC             12
YU1BD             12
YU1BE             12
YU1BF             12
YU1BG             12
YU1BH             12
YU1BI             12
YU1BJ             12
YU1BK             12
YU1BL             12
YU1BM             12
YU1BN             12
YU1BO             12
YU1BP             12
YU1BQ             12
YU1BR             12
YU1BS             12
YU1BT             12
YU1BU             12
YU1BV             12
YU1BW             12
YU1BX             12
YU1GT              8
YU1GU              8
YU1GV              8
YU1GW              8
YU1GX              8
YU1GY              8
YU1GZ              8
YU1HA              8
YU1HB              8
YU1HC              8
YU1HD              8
YU1HE              8
YU1HF              8
YU1HG              8
YU1HH              8
YU1HI              8
YU1HJ              8
YU1HK              8
YU1HL              8
YU1HM              8
YU1HN              8
YU1HO              8
YU1HP              8
YU1HQ              8
YU1HR              8
YU1HS              8
YU1HT              8
YU1HU              8
YU1HV              8
YU1HW              8
YU1HX              8
YU1HY              8
YU1HZ              8
YU1IA              8
YU1IB              8
YU1IC              8
YU1ID              8
YU1IE              8
YU1IF              8
YU1IG              8
YU1IH              8
YU1II              8
YU1IJ              8
YU1IK              8
YU1IL              8
YU1IM              8
YU1IN              8
YU1IO              8
YU1IP              8
YU1IQ              8
YU1IR              8
YU1IS              8
YU1IT              8
YU1IU              8
YU1IV              8
YU1IW              8
YU1IX              8
YU1IY              8
YU1IZ              8
YU1JA              8
YU1JB              8
YU1JC              8
YU1JD              8
YU1JE              8
YU1JF              8
YU1JG              8
YU1JH              8
YU1JI              8
YU1JJ              8
YU1JK              8
YU1JL              8
YU1JM              8
YU1JN              8
YU1JO              8
YU1JP              8
YU1DW              6
YU1DX              6
YU1DY              6
YU1DZ              6
YU1EA              6
YU1EB              6
YU1EC              6
YU1ED              6
YU1EE              6
YU1EF              6
YU1EG              6
YU1EH              6
YU1EI              6
YU1EJ              6
YU1EK              6
YU1EL              6
YU1EM              6
YU1EN              6
YU1EO              6
YU1EP              6
YU1EQ              6
YU1ER              6
YU1ES              6
YU1ET              6
YU1EU              6
YU1EV              6
YU1EW              6
YU1EX              6
YU1EY              6
YU1EZ              6
YU1FA              6
YU1FB              6
YU1FC              6
YU1FD              6
YU1FE              6
YU1FF              6
YU1FG              6
YU1FH              6
YU1FI              6
YU1FJ              6
YU1FK              6
YU1FL              6
YU1FM              6
YU1FN              6
YU1FO              6
YU1FP              6
YU1FQ              6
YU1FR              6
YU1FS              6
YU1FT              6
YU1FU              6
YU1FV              6
YU1FW              6
YU1FX              6
YU1FY              6
YU1FZ              6
YU1GA              6
YU1GB              6
YU1GC              6
YU1GD              6
YU1GE              6
YU1GF              6
YU1GG              6
YU1GH              6
YU1GI              6
YU1GJ              6
YU1GK              6
YU1GL              6
YU1GM              6
YU1GN              6
YU1GO              6
YU1GP              6
YU1GQ              6
YU1GR              6
YU1GS              6
YU1NM              4
YU1NN              4
YU1NO              4
YU1NP              4
YU1NQ              4
YU1NR              4
YU1NS              4
